TITLE,ADDRESS,PRICE,UNIT TYPE,BEDROOM,BATHROOM,SIZE,HYDRO,HEAT,WATER,LINK,LAT,LNG
Beautiful Furnished All Inclusive One Bedroom Condo - Downtown,"180 York St, Ottawa, ON K1N 1J6, Canada","1,950.00",Condo,1,1,485,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/beautiful-furnished-all-inclusive-one-bedroom-condo-downtown/1490575856,45.4296856,-75.6885901
Large New Furnished Studio Downtown,"530 De Mazenod Ave, Ottawa, ON K1S 5W8, Canada","1,950.00",Apartment,Bachelor/Studio,1,679,No,Yes,No,https://www.kijiji.ca/v-apartments-condos/ottawa/large-new-furnished-studio-downtown/1490995080,45.40832590000001,-75.6747123
"Fully furnished & Newly renovated, 1 bedroom suites","163 MacLaren St, Ottawa, ON, K2P 0K8","1,700.00",Apartment,1,1,Not Available,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/fully-furnished-newly-renovated-1-bedroom-suites/1490961728,45.41755029999999,-75.68939019999999
May 3rd - Fully Furnished  Bachelor - Sandy Hill - 87 Mann,"87 Mann Avenue, Ottawa, ON, K1N 6Y8","1,375.00",Apartment,Bachelor/Studio,1,Not Available,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/may-3rd-fully-furnished-bachelor-sandy-hill-87-mann/1490703011,45.4208766,-75.67345420000001
Fully Furnished Studio Apartments- The Spire Ottawa - 87 Mann,"87 Mann Avenue, Ottawa, ON, K1N 6Y8","1,375.00",Apartment,Bachelor/Studio,1,Not Available,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/fully-furnished-studio-apartments-the-spire-ottawa-87-mann/1486349528,45.4208766,-75.67345420000001
"Furnished 1 Bedroom + Den - ""The New York"" @ 253 York Street","253 York Street, Ottawa, ON, K1N 5T9","1,995.00",Apartment,1 + Den,1,Not Available,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/furnished-1-bedroom-den-the-new-york-253-york-street/1489700263,45.4312467,-75.6861268
Furnished Studio Suites - The New York @ 253 York Street,"253 York Street, Ottawa, ON, K1N 5T9","1,595.00",Apartment,Bachelor/Studio,1,450,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/furnished-studio-suites-the-new-york-253-york-street/1489621415,45.4312467,-75.6861268
Furnished Bachelor Suite Downtown - Available Now!,"160 Chapel St. Ottawa, ON K1N 8P5, Ottawa, ON, K1N 8P5","1,700.00",Apartment,Bachelor/Studio,1,Not Available,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/furnished-bachelor-suite-downtown-available-now/1470396848,45.43092799999999,-75.6814265
Studio Apartment Downtown Ottawa with Parking,"95 Bronson Ave, Ottawa, ON K1R 1E2, Canada","1,750.00",Apartment,Bachelor/Studio,1,650,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/studio-apartment-downtown-ottawa-with-parking/1490816952,45.4166976,-75.7083072
1 Bedroom Luxury Centretown Apartment - Sublet May - August,"Cooper St, Ottawa, ON K2P 0E8, Canada","1,650.00",Apartment,1,1,490,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/1-bedroom-luxury-centretown-apartment-sublet-may-august/1490802068,45.4186928,-75.6905738
Beautiful 1 Bed 1 Bath in Centretown with Parking,"83 Florence St, Ottawa, ON K1R 5N1, Canada","1,900.00",Apartment,1,1,"1,300",Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/beautiful-1-bed-1-bath-in-centretown-with-parking/1490752928,45.4116247,-75.69747319999999
